elements,rows,python,pandas_read_csv,pandas_tuples_to_df,julia_c,julia_basic,julia_prealloc,julia_opt,cpp,load_external
5075,100,0.02469746271769206,0.0015614032745361328,0.023136059443155926,0.0012536048889160156,0.006193796793619792,0.0021773179372151694,0.0004192193349202474,0.00061798095703125,0.001065651575724284
10167,200,0.04383707046508789,0.0022714932759602866,0.0415655771891276,0.0022376378377278647,0.011610825856526693,0.004178762435913086,0.0005442301432291666,0.0011590321858723958,0.0011242230733235676
14937,300,0.061339537302653,0.0024045308430989585,0.05893500645955404,0.0031676292419433594,0.012465476989746094,0.005828142166137695,0.0006724993387858073,0.0016900698343912761,0.0012276172637939453
19602,400,0.0797122319539388,0.0028534730275472007,0.0768587589263916,0.004088640213012695,0.018270254135131836,0.007697900136311849,0.0012207825978597004,0.0022188822428385415,0.001249392827351888
25142,500,0.09853347142537436,0.003367821375528971,0.09516565004984538,0.005173285802205403,0.06566071510314941,0.010169347127278646,0.0009895165761311848,0.002825657526652018,0.0013193289438883464
15775,100,0.03524557749430338,0.0026003519694010415,0.032645225524902344,0.003295739491780599,0.009282588958740234,0.006274223327636719,0.0007038911183675131,0.0017766952514648438,0.0011911392211914062
31330,200,0.05775062243143717,0.0036885738372802734,0.0540620485941569,0.006268978118896484,0.01923815409342448,0.011909166971842447,0.001200278600056966,0.003481149673461914,0.001382589340209961
48339,300,0.08107519149780273,0.005064964294433594,0.07601022720336914,0.009874820709228516,0.03916811943054199,0.01906728744506836,0.0017395814259847004,0.0054365793863932295,0.0015901724497477214
66137,400,0.11396996180216472,0.006886402765909831,0.10708355903625488,0.012900352478027344,0.05931703249613444,0.025283972422281902,0.0022079149881998696,0.00733176867167155,0.0018563270568847656
83086,500,0.13203120231628418,0.009501139322916666,0.12253006299336751,0.0164181391398112,0.11319772402445476,0.031207958857218426,0.0027405420939127603,0.009133100509643555,0.002156496047973633
50758,100,0.07076366742451985,0.005123694737752278,0.06563997268676758,0.009903748830159506,0.026508490244547527,0.019429842631022137,0.0018271605173746746,0.00568389892578125,0.001694043477376302
100000,200,0.10716382662455241,0.007955471674601236,0.09920835494995117,0.019312540690104168,0.09444928169250488,0.03740374247233073,0.0032672882080078125,0.011097431182861328,0.0024529298146565757
142873,300,0.14197174708048502,0.011191288630167643,0.13078045845031738,0.0276642640431722,0.13922119140625,0.05395301183064779,0.0045079390207926435,0.015940348307291668,0.0031690597534179688
189502,400,0.181550661722819,0.01493215560913086,0.16661850611368814,0.03725655873616537,0.20377047856648764,0.07090918223063152,0.00647123654683431,0.021110057830810547,0.00399478276570638
259923,500,0.2302405039469401,0.019538323084513348,0.21070218086242676,0.05098263422648112,0.29070043563842773,0.0968915621439616,0.008111794789632162,0.02869868278503418,0.00519251823425293
151171,100,0.17729338010152182,0.011679251988728842,0.16561412811279297,0.029186248779296875,0.10875256856282552,0.05628116925557455,0.004825671513875325,0.016731818517049152,0.0033637682596842446
324976,200,0.2636697292327881,0.023267666498819988,0.2404020627339681,0.06265195210774739,0.26411938667297363,0.12224459648132324,0.01103663444519043,0.03627204895019531,0.011098066965738932
465078,300,0.35322650273640954,0.03467694918314616,0.31854955355326336,0.09076531728108723,0.37012290954589844,0.1721019744873047,0.015741507212320965,0.051503896713256836,0.016839901606241863
599323,400,0.44013309478759766,0.04367272059122721,0.3964603741963704,0.11750054359436035,0.5096919536590576,0.2211469809214274,0.019425312678019207,0.06621297200520833,0.019899527231852215
773057,500,0.5281786918640137,0.05707097053527832,0.47110772132873535,0.15004960695902506,0.7471203009287516,0.2897518475850423,0.040085951487223305,0.08525172869364421,0.01494161287943522
490779,100,0.54435133934021,0.03689106305440267,0.5074602762858073,0.10699017842610677,0.2577371597290039,0.18149050076802573,0.01495814323425293,0.05373120307922363,0.010027090708414713
1034552,200,0.7891684373219808,0.07356770833333333,0.7156007289886475,0.20220065116882324,0.6711318492889404,0.37841041882832843,0.03194578488667806,0.11387284596761067,0.026533842086791992
1459817,300,1.0098838011423745,0.10771560668945312,0.9021681944529215,0.2991213798522949,1.1351239681243896,0.5454354286193848,0.04469799995422363,0.16012144088745117,0.02987186113993327
1984149,400,1.247265100479126,0.14604409535725912,1.101221005121867,0.4042845567067464,1.6342225869496663,0.7659220695495605,0.06256604194641113,0.22094257672627768,0.03824241956075033
2489714,500,1.4975407123565674,0.18419623374938965,1.3133444786071777,0.5126280784606934,2.4101385275522866,0.9738577206929525,0.07835610707600911,0.27940090497334796,0.0488889217376709
1633412,100,1.7574830055236816,0.12529722849527994,1.6321857770284016,0.3343821366628011,0.8867262999216715,0.6413219769795736,0.049835205078125,0.1848461627960205,0.034238576889038086
3323097,200,2.4811292489369707,0.2447680632273356,2.2363611857096353,0.6996533075968424,2.342094977696737,1.3290931383768718,0.10491808255513509,0.3767782847086589,0.06584763526916504
4588256,300,3.1538273493448896,0.3513534863789876,2.802473862965902,0.9776217142740885,4.073872645696004,1.8703006108601887,0.16527215639750162,0.530379851659139,0.09044941266377766
6236793,400,3.9261011282602944,0.4856224060058594,3.440478722254435,1.343354304631551,10.253127972284952,2.626813809076945,0.2375356356302897,0.7395000457763672,0.1442878246307373
7771775,500,4.773067951202393,0.6007208824157715,4.172347068786621,1.6895604133605957,17.047386169433594,3.2702009677886963,0.33034229278564453,0.9259252548217773,0.18465733528137207
4628597,100,5.637882709503174,0.41205692291259766,5.225825786590576,1.018181562423706,2.989119291305542,1.9384791851043701,0.1682116985321045,0.5526759624481201,0.11207318305969238
10390181,200,8.56441330909729,0.7949306964874268,7.769482612609863,2.2982263565063477,10.268598794937134,4.500295639038086,0.37340688705444336,1.2633893489837646,0.25597310066223145
14392327,300,10.731883525848389,1.144089937210083,9.587793588638306,3.1533000469207764,22.008402824401855,6.125307559967041,0.5377583503723145,1.7249279022216797,0.31904101371765137
20192542,400,14.004658222198486,1.5867316722869873,12.417926549911499,4.427703857421875,45.47250270843506,8.662105083465576,0.8306577205657959,2.3834619522094727,0.4463026523590088
25883951,500,16.834729433059692,2.0805420875549316,14.75418734550476,5.760679244995117,79.05217719078064,10.625988960266113,1.0748984813690186,3.068289279937744,0.5698516368865967
